GPS vareinace of 0.15
 2124.48  2057.23 -7.26796 -7.30203
 2112.44  2051.56 -9.48268 -9.19893
 2102.82  2042.83 -10.6727 -10.9398
 2087.67  2018.57 -11.4871  -13.225
 2075.07  2010.55 -13.1287 -13.7215
 2065.96  1990.03 -13.9842 -16.0589
 2043.99     1975 -15.0863 -15.2274
 2036.37  1960.87 -12.4194 -12.4285
 2027.23  1956.67 -9.59836 -8.90793
 2018.31  1940.54 -4.76278 -5.51743
 2011.34  1941.45 -3.24371 -2.58914
  2010.23   1939.77 -0.256592 -0.146903
  2004.73   1932.81 -0.424711 -0.602796
  2004.95   1933.65 -0.106979 -0.094138
   2005.5   1934.48 0.0300009 0.0648334
 2012.24  1935.63 0.878462 0.161985
 2007.45  1938.45 -0.24961 0.356575
   2007.96    1937.09 -0.0184174 -0.0458837
   2003.8   1940.69 -0.542706   0.45775
  2010.23   1938.39  0.533973 -0.108642
  2004.32   1940.87 -0.507341  0.247733
  2014.82   1938.08   1.26475 -0.314514
  2009.04   1936.45 -0.239454  -0.27491
  2002.83   1940.14 -0.773935  0.333644
   2003.45    1941.09 -0.0663213   0.187183
 2010.23  1929.83 0.718128 -1.16986
  2009.6  1937.34 0.145443 0.496636
   2011.61     1935.9   0.287821 -0.0928038
   2010.54    1935.44 -0.0274024 -0.0787293
  2014.17   1933.97  0.402628 -0.190769
  2005.31   1933.38  -1.07239 -0.112108
  2005.12   1939.11 -0.352322   0.58994
  2007.5  1942.96  0.16334 0.613004
  2006.15   1946.33 -0.144872  0.553165
  2006.88   1942.66 0.0345939 -0.229114
  2003.24   1940.81 -0.401121 -0.278005
   2006.5   1937.48  0.347156 -0.484125
    2005.3    1941.38 -0.0233403   0.275362
  2012.33   1937.19  0.787963 -0.391211
  2011.46   1939.15 0.0356619  0.180177
   2003.2    1936.1 -0.889202 -0.276118
   2006.51    1936.35   0.106746 -0.0552745
   2000.2   1939.82 -0.798049  0.439357
 2008.65   1943.3 0.674551 0.515149
  2005.62   1940.11 -0.138902 -0.205698
  2000.68   1938.88 -0.667142 -0.198292
  1999.36   1945.77 -0.350122  0.690094
  2005.63   1943.45  0.602922 -0.054573
  2008.65   1940.11  0.506133 -0.443297
  2010.7   1943.7 0.380362 0.254388
  2007.92   1938.86 -0.200177 -0.470888
   2007.45    1932.33 -0.0982584  -0.934751
  2006.47    1940.8 -0.137133  0.633956
  2005.74   1935.62 -0.124265 -0.394685
 2013.99  1937.03  1.04526 0.107397
   2001.6    1937.2   -1.0264 0.0519007
  2009.34   1937.51  0.564447 0.0511062
 2009.19   1936.9  -1.7804 -1.88586
 2008.59  1938.37 -2.80803 -2.55442
 2006.92  1931.61 -4.07685 -4.49043
 1997.14     1927 -6.09923 -5.39479
 1986.85  1921.46 -7.59714 -6.73309
 1980.38   1912.6 -8.52833 -8.38477
 1974.37  1897.45 -8.75813  -9.7376
 1965.51  1896.62 -10.6374 -9.86971
 1954.73  1883.53 -12.3745 -12.1823
 1931.77  1860.14   -13.41 -14.0443
 1919.78  1852.39 -14.6124 -14.5772
 1908.01   1835.6 -15.8839 -16.6926
 1890.57  1817.75 -16.0228 -16.4933
 1865.46  1801.43 -19.3908 -18.8692
 1843.48  1784.89 -19.6703 -19.1768
  1826.3  1754.11 -17.4739 -17.6393
 1817.02  1745.14  -18.153 -17.5804
 1798.04  1724.76 -19.0502 -19.0263
 1774.64  1698.87  -17.614 -17.7131
  1753.6  1686.81 -19.2382 -18.0601
 1730.64  1667.28 -20.0245 -19.0483
 1709.21  1646.47 -17.4179 -16.9367
 1698.63  1627.36 -18.0822 -18.6325
 1678.27  1606.53 -19.3098  -19.297
  1646.8  1584.85 -18.6553 -17.1667
  1632.4  1566.08 -18.0825 -17.8841
 1616.89  1560.13 -15.2062  -14.219
 1597.29  1535.01   -13.98 -14.6707
 1592.27  1525.47 -13.9447  -14.737
 1568.93  1504.95 -15.9751 -15.9812
  1547.6  1476.18 -15.7952 -13.9731
 1535.41  1467.19  -15.908 -13.6858
 1516.46  1459.59 -16.7365 -13.4605
 1498.76  1445.03 -16.3569 -10.4029
 1483.68  1432.13 -17.2606 -12.0636
 1460.81  1420.51 -18.2995 -12.3571
 1444.32  1409.65 -11.1838 -7.68057
 1439.61  1399.48 -12.9154 -6.48084
  1416.1   1395.6 -15.3322 -6.53313
 1408.44  1384.16 -12.1445 -6.60885
 1392.87  1376.96 -14.9238 -5.07321
 1370.01  1374.82 -16.3825 -4.77081
 1348.54   1372.2  -14.568 -4.04486
 1333.17  1362.68 -15.9142 -3.14949
 1326.78  1364.36  -15.076 -2.43843
 1308.61   1368.2 -14.2271 -1.24994
 1294.73  1362.52 -15.4554 -2.92873
 1273.31  1355.07 -16.6471 -2.96329
   1256.07    1362.79   -14.5547 -0.0539375
 1241.13  1357.78 -15.7226 -1.57484
 1227.75  1349.06 -15.9012 -2.47826
  1208.94   1356.56  -14.5806 -0.460861
 1193.75  1347.18 -15.7953 -2.18016
 1172.24  1345.12 -16.8559 -1.90986
  1161.06   1348.63  -13.6675 -0.858417
 1145.36  1347.45 -15.5136  -1.4039
 1130.29   1347.1 -16.0464 -1.48159
 1107.05  1337.04  -15.269 -1.82771
 1091.58  1338.25 -16.0909 -1.09821
 1077.73  1337.87 -16.1267 -1.21104
  1060.28   1340.46  -14.3889 -0.738177
 1047.84  1336.04 -15.4349 -1.53548
 1030.19  1332.84 -16.2967 -1.65284
 1005.47  1330.41 -15.5015 -1.41878
 997.641  1326.67 -15.2893 -1.67326
  979.321   1329.71  -16.4118 -0.994882
 957.852   1326.2 -14.9072 -1.41695
 946.559  1323.37 -15.4528 -1.57077
  932.576   1326.77  -15.9765 -0.924372
 910.514  1325.14 -14.9098 -1.16088
 901.651  1320.76 -15.1825 -1.56947
 879.924  1327.58  -16.798 -0.48302
 861.221  1325.64 -14.6484 -1.06578
 852.749  1324.68 -15.1016  -1.0667
  831.936   1326.66  -16.5934 -0.478653
GPS vareinace of 20


 2287.76  1519.17  -0.9318 0.342152
2378.52 1536.49 4.54128 2.63431
2428.86 1585.21 3.34277 8.51855
 2427.13  1564.87 -2.26581  4.74393
    2408  1571.14 -7.28562  6.63578
  2398.6  1570.92 -7.87506  6.57328
 2378.32  1598.99 -10.6405  11.1643
 2377.51  1610.84 -9.06938  10.5504
 2364.13  1631.06 -8.85651  10.0933
 2369.96  1629.03 -7.70278  8.57213
 2360.07  1663.81 -8.01697  13.2144
 2334.77  1659.06 -2.04531  11.1639
2305.31 1697.69 6.03014 12.1494
2323.38 1688.27 10.1373 7.78005
2337.79 1689.56 9.38248 6.68486
2348.57 1693.35 13.3448 1.06882
2382.71 1709.52  15.863  2.9502
  2410.7  1707.33  13.0327 0.666219
 2430.12  1709.88  10.4014 0.886626
 2392.46   1713.6  1.61483 0.946482
  2405.52   1704.59   2.71296 -0.919906
  2411.2   1695.1  4.88049 -1.17493
2409.18 1707.93 3.40388 6.54036
